id,stream,college_name,placement_status,salary
1,Computer Science,Harvard University,Placed,60000
2,Electrical Engineering,Massachusetts Institute of Technology,Placed,65000
3,Mechanical Engineering,Stanford University,Placed,58000
4,Information Technology,Yale University,Not Placed,0
5,Computer Science,Princeton University,Placed,62000
6,Electronics and Communication,Columbia University,Placed,63000
7,Information Technology,California Institute of Technology,Placed,59000
8,Computer Science,University of Chicago,Not Placed,0
9,Electrical Engineering,University of Pennsylvania,Placed,64000
10,Mechanical Engineering,Northwestern University,Placed,57000
11,Computer Science,Duke University,Placed,61000
12,Electronics and Communication,Johns Hopkins University,Not Placed,0
13,NA,NA,Placed,
14,Computer Science,University of Michigan--Ann Arbor,Placed,64000
15,Electrical Engineering,University of California--Los Angeles,Placed,66000
16,Mechanical Engineering,University of Virginia,Not Placed,0
17,Computer Science,University of Wisconsin--Madison,Placed,61000
18,Electronics and Communication,University of Illinois--Urbana-Champaign,Placed,62000
19,Information Technology,University of North Carolina--Chapel Hill,Placed,59000
20,NA,University of Washington,Placed,65000
21,Electrical Engineering,University of California--San Diego,Placed,67000
22,Mechanical Engineering,University of Texas--Austin,Not Placed,
23,Computer Science,University of California--Santa Barbara,Placed,60000
24,Electronics and Communication,University of Southern California,Placed,63000
25,Information Technology,University of Florida,Placed,60000
26,Computer Science,University of Minnesota--Twin Cities,Not Placed,0
27,Electrical Engineering,University of Maryland--College Park,Placed,64000
28,Mechanical Engineering,University of California--Davis,Placed,66000
29,Computer Science,University of Pittsburgh,Placed,59000
30,Electronics and Communication,University of Colorado--Boulder,Placed,62000
31,Information Technology,University of Rochester,Placed,61000
32,Computer Science,Boston College,Not Placed,0
33,Electrical Engineering,Rice University,Placed,65000
34,Electronics and Communication,University of California--Irvine,Placed,64000
35,Information Technology,Georgetown University,Placed,67000
36,Computer Science,University of Georgia,Not Placed,0
37,Information Technology,University of Notre Dame,Placed,63000
38,Computer Science,University of Iowa,Placed,62000
39,Electrical Engineering,University of California--Santa Cruz,Placed,60000
40,Mechanical Engineering,University of Connecticut,Placed,61000
41,Computer Science,University of California--Riverside,Not Placed,0
42,Electronics and Communication,University of Delaware,Placed,65000
43,Information Technology,University of California--San Francisco,Placed,66000
44,Computer Science,University of Texas--Dallas,Placed,63000
45,Electrical Engineering,University of Virginia,Placed,64000
46,Mechanical Engineering,University of California--Santa Cruz,Not Placed,0
47,Computer Science,University of California--San Diego,Placed,65000
48,Electronics and Communication,University of Texas--Austin,Placed,66000
49,Information Technology,University of California--Los Angeles,Placed,67000
50,Computer Science,University of Michigan--Ann Arbor,Placed,68000
51,Electrical Engineering,University of Pennsylvania,Not Placed,0
52,Mechanical Engineering,University of Washington,Placed,67000
53,Computer Science,University of California--Berkeley,Placed,66000
54,Electronics and Communication,University of Illinois--Urbana-Champaign,Placed,65000
55,Information Technology,University of Colorado--Boulder,Placed,66000
56,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0
57,Information Technology,University of Maryland--College Park,Placed,63000
58,Computer Science,University of Rochester,Placed,62000
59,Electrical Engineering,University of California--Santa Cruz,Placed,60000
60,Mechanical Engineering,University of Connecticut,Placed,61000
61,Computer Science,University of California--Riverside,Not Placed,0
62,Electronics and Communication,University of Delaware,Placed,65000
63,Information Technology,University of California--San Francisco,Placed,66000
64,Computer Science,University of Texas--Dallas,Placed,63000
65,Electrical Engineering,University of Virginia,Placed,64000
66,Mechanical Engineering,University of California--Santa Cruz,Not Placed,0
67,Computer Science,University of California--San Diego,Placed,65000
68,Electronics and Communication,University of Texas--Austin,Placed,66000
69,Information Technology,University of California--Los Angeles,Placed,67000
70,Computer Science,University of Michigan--Ann Arbor,Placed,68000
71,Electrical Engineering,University of Pennsylvania,Not Placed,0
72,Mechanical Engineering,University of Washington,Placed,67000
73,Computer Science,University of California--Berkeley,Placed,66000
74,Electronics and Communication,University of Illinois--Urbana-Champaign,Placed,65000
75,Information Technology,University of Colorado--Boulder,Placed,66000
76,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0
77,Information Technology,University of Maryland--College Park,Placed,63000
