id,gpa,years_of_experience
1,3.7,2
2,3.6,1
3,3.8,3
4,3.5,2
5,3.9,2
6,3.7,1
7,3.8,3
8,3.6,2
9,3.7,2
10,3.5,1
11,3.9,2
12,3.8,3
13,3.7,2
14,3.6,1
15,3.8,3
16,,2
17,3.9,2
18,3.8,1
19,3.7,2
20,3.6,1
21,3.5,3
22,3.8,3
23,3.7,2
24,3.6,
25,3.9,2
26,3.8,3
27,3.7,2
28,3.5,1
29,3.7,2
30,3.6,1
31,3.9,2
32,3.8,3
33,3.5,3
34,3.6,1
35,3.7,2
36,3.6,1
37,3.7,2
38,3.8,3
39,3.7,2
40,3.5,1
41,3.9,2
42,3.7,1
43,3.8,3
44,3.6,1
45,3.9,2
46,3.4,1
47,3.7,2
48,3.8,3
49,3.9,3
50,3.9,3
51,3.7,2
52,3.8,3
53,3.9,3
54,3.8,3
55,3.7,2
56,3.6,1
57,3.7,2
58,3.8,3
59,3.7,2
60,3.5,1
61,3.9,2
62,3.7,1
63,3.8,3
64,3.6,1
65,3.9,2
66,3.4,1
67,3.7,2
68,3.8,3
69,3.9,3
70,3.9,3
71,3.7,2
72,3.8,3
73,3.9,3
74,3.8,3
75,3.7,2
76,3.6,1
77,3.7,2
78,3.8,3
79,3.7,2
,3.5,1
81,3.9,2
82,3.7,1
83,3.8,3
84,3.6,1
85,3.9,2
86,3.4,1
87,3.7,2
88,3.8,3
89,3.9,3
90,3.9,3
91,3.7,2
92,3.8,3
93,3.9,3
94,3.8,3
95,3.7,2
96,3.6,1
97,3.7,2
98,3.8,3
99,3.7,2
100,3.5,1
101,3.9,2
102,3.7,1
103,3.8,3
104,3.6,1
105,3.9,2
106,3.4,1
107,3.7,2
108,3.8,3
109,3.9,3
110,3.9,3
111,3.7,2
112,3.8,3
113,3.9,3
114,3.8,3
115,3.7,2
116,3.6,1
117,3.7,2
118,3.8,3
119,3.7,2
120,3.5,1
121,3.9,2
122,3.7,1
123,3.8,3
124,3.6,1
125,3.9,2
126,3.4,1
127,3.7,2
128,3.8,3
129,3.9,3
130,3.9,3
131,3.7,2
132,3.8,3
133,3.9,3
134,3.8,3
135,3.7,2
136,3.6,1
137,3.7,2
138,3.8,3
139,3.7,2
140,3.5,1
141,3.9,2
142,3.7,1
143,3.8,3
144,3.6,1
145,3.9,2
146,3.4,1
147,3.7,2
148,3.8,3
149,3.9,3
150,3.9,3
151,3.7,2
152,3.8,3
153,3.9,3
154,3.8,3
155,3.7,2
156,3.6,1
157,3.7,2
158,3.8,3
159,3.7,2
160,3.5,1
161,3.9,2
162,3.7,1
163,3.8,3
164,3.6,1
165,3.9,2
166,3.4,1
167,3.7,2
168,3.8,3
169,3.9,3
170,3.9,3
171,3.7,2
172,3.8,3
173,3.9,3
174,3.8,3
175,3.7,2
176,3.6,1
177,3.7,2
178,3.8,3
179,3.7,2
180,3.5,1
181,3.9,2
182,3.7,1
183,3.8,3
184,3.6,1
185,3.9,2
186,3.4,1
187,3.7,2
188,3.8,3
189,3.7,2
190,3.8,3
191,3.9,3
192,3.9,3
193,3.9,3
194,3.7,2
195,3.8,3
196,3.9,3
197,3.8,3
198,3.7,2
199,3.6,1
200,3.7,2
201,3.8,3
202,3.9,3
203,3.9,3
204,3.9,3
205,3.7,2
206,3.8,3
207,3.9,3
208,3.8,3
209,3.7,2
210,3.6,1
211,3.7,2
212,3.8,3
213,3.9,3
214,3.9,3
215,3.9,3
216,3.7,2
217,3.8,3
218,3.9,3
219,3.8,3
220,3.7,2
221,3.6,1
222,3.7,2
223,3.8,3
224,3.9,3
225,3.9,3
226,3.9,3
227,3.7,2
228,3.8,3
229,3.9,3
230,3.8,3
231,3.7,2
232,3.6,1
233,3.7,2
234,3.8,3
235,3.9,3
236,3.9,3
237,3.9,3
238,3.7,2
239,3.8,3
240,3.9,3
241,3.8,3
242,3.7,2
243,3.6,1
244,3.7,2
245,3.8,3
246,3.9,3
247,3.9,3
248,3.9,3
249,3.7,2
250,3.8,3
251,3.9,3
252,3.8,3
253,3.7,2
254,3.6,1
255,3.7,2
256,3.8,3
257,3.9,3
258,3.9,3
259,3.9,3
260,3.7,2
261,3.8,3
262,3.9,3
263,3.8,3
264,3.7,2
265,3.6,1
266,3.7,2
267,3.8,3
268,3.9,3
269,3.9,3
270,3.9,3
271,3.7,2
272,3.8,3
273,3.9,3
274,3.8,3
275,3.7,2
276,3.6,2
277,3.7,2
278,3.8,3
279,3.9,3
280,3.7,2
281,3.8,3
282,3.9,3
283,3.8,3
284,3.7,2
285,3.6,1
286,3.7,2
287,3.8,3
288,3.7,2
289,3.5,1
290,3.9,2
291,3.7,1
292,3.8,3
293,3.6,1
294,3.9,2
295,3.9,3
296,3.9,3
297,3.7,2
298,3.8,3
299,3.9,3
300,3.8,3
301,3.7,2
302,3.6,1
303,3.7,2
304,3.8,3
305,3.7,2
306,3.5,1
307,3.9,2
308,3.7,1
309,3.8,3
310,3.6,1
311,3.9,2
312,3.9,3
313,3.9,3
314,3.7,2
315,3.8,3
316,3.9,3
317,3.8,3
318,3.7,2
319,3.6,1
320,3.7,2
321,3.8,3
322,3.7,2
323,3.5,1
324,3.9,2
325,3.7,1
326,3.8,3
327,3.6,1
328,3.9,2
329,3.9,3
330,3.7,2
331,3.8,3
332,3.9,3
333,3.9,3
334,3.8,3
335,3.7,2
336,3.6,1
337,3.7,2
338,3.8,3
339,3.7,2
340,3.5,1
341,3.9,2
342,3.7,1
343,3.8,3
344,3.6,1
345,3.9,2
346,3.9,3
347,3.7,2
348,3.8,3
349,3.9,3
350,3.8,3
351,3.7,2
352,3.6,1
353,3.7,2
354,3.8,3
355,3.7,2
356,3.5,1
357,3.9,2
358,3.7,1
359,3.8,3
360,3.6,1
361,3.9,2
362,3.9,3
363,3.7,2
364,3.8,3
365,3.9,3
366,3.8,3
367,3.7,2
368,3.6,1
369,3.7,2
370,3.8,3
371,3.7,2
372,3.5,1
373,3.9,2
374,3.7,1
375,3.8,3
376,3.6,1
377,3.9,2
378,3.9,3
379,3.8,3
380,3.7,2
381,3.8,3
382,3.7,2
383,3.6,1
384,3.7,2
385,3.8,3
386,3.7,2
387,3.5,1
388,3.9,2
389,3.7,1
390,3.8,3
391,3.6,1
392,3.9,2
393,3.9,3
394,3.7,2
395,3.8,3
396,3.9,3
397,3.8,3
398,3.7,2
399,3.6,1
400,3.7,2
401,3.8,3
402,3.7,2
403,3.5,1
404,3.9,2
405,3.7,1
406,3.8,3
407,3.6,1
408,3.9,2
409,3.9,3
410,3.7,2
411,3.8,3
412,3.9,3
413,3.8,3
414,3.7,2
415,3.6,1
416,3.7,2
417,3.8,3
418,3.7,2
419,3.5,1
420,3.9,2
421,3.7,1
422,3.8,3
423,3.6,1
424,3.9,2
425,3.9,3
426,3.7,2
427,3.8,3
428,3.9,3
429,3.8,3
430,3.7,2
431,3.6,1
432,3.7,2
433,3.8,3
434,3.7,2
435,3.5,1
436,3.9,2
437,3.7,1
438,3.8,3
439,3.6,1
440,3.9,2
441,3.9,3
442,3.7,2
443,3.8,3
444,3.9,3
445,3.8,3
446,3.7,2
447,3.6,1
448,3.7,2
449,3.8,3
450,3.7,2
451,3.5,1
452,3.9,2
453,3.7,1
454,3.8,3
455,3.6,1
456,3.9,2
457,3.9,3
458,3.7,2
459,3.8,3
460,3.9,3
461,3.8,3
462,3.7,2
463,3.6,1
464,3.7,2
465,3.8,3
466,3.7,2
467,3.5,1
468,3.9,2
469,3.7,1
470,3.8,3
471,3.6,1
472,3.9,2
473,3.9,3
474,3.7,2
475,3.8,3
476,3.9,3
477,3.8,3
478,3.7,2
479,3.6,1
480,3.7,2
481,3.8,3
482,3.7,2
483,3.5,1
484,3.9,2
485,3.7,1
486,3.8,3
487,3.6,1
488,3.9,2
489,3.9,3
490,3.7,2
491,3.8,3
